ticker,avg_yearly_returns,yearly_variance,synthetic_regime,sharpe_proxy
TGT,0.33899288127046157,0.02514335984930737,growth,2.0117283483339325
MS,0.29243120238536935,0.02073484334812579,growth,1.8919361166319046
JPM,0.3021245223924641,0.03212773247032371,growth,1.5739857620327178
VLO,0.19980161464308133,0.018743365507021797,balanced,1.3133177086921302
SLB,0.20282641060553344,0.020306371619354002,growth,1.2829885130582093
SO,0.20236013509175976,0.021987343133199604,growth,1.2298255976630437
AAPL,0.2337913275777136,0.031287841523357146,growth,1.2086548038933327
LOW,0.2552101109011971,0.039619411593270364,growth,1.1816856891319776
TSLA,0.23657695762809505,0.03381817418588692,growth,1.1777067665129373
GS,0.2484577872140205,0.039282452709794115,growth,1.1526744528390722
MRVL,0.19504906553997087,0.028646087491234373,growth,1.0342538344913053
