ticker,avg_yearly_returns,yearly_variance,synthetic_regime,sharpe_proxy
AAPL,0.2337913275777136,0.031287841523357146,growth,1.2086548038933327
MSFT,0.13012263806565763,0.01536651841253344,balanced,0.8883597359436348
GOOGL,0.16458623074044498,0.030419145272020054,growth,0.828997904304303
AMZN,0.10629122480876722,0.040843669769426987,growth,0.426976777610455
META,0.038570918092904666,0.01004997647491075,defensive,0.1852468585911297
NVDA,0.35691946542494546,0.10562859116104804,volatile,1.0366576556367526
TSLA,0.23657695762809505,0.03381817418588692,growth,1.1777067665129373
ORCL,0.16036911815690924,0.03404338146912322,growth,0.7607732363420847
IBM,-0.004056705188531053,0.004211550110307651,defensive,-0.37069366125897685
INTC,0.03225152132050786,0.013019272206789629,balanced,0.10737339038937947
AMD,0.126987582469789,0.013661646612479574,balanced,0.9153387549738262
QCOM,0.21949399135369768,0.1354729904225123,volatile,0.54200520946473
AVGO,0.08540548159162156,0.025162608979269606,balanced,0.41232181542239293
TXN,0.12464676239930861,0.032534749305588445,growth,0.5801657199129036
MU,0.05274878697991803,0.017626768468696062,balanced,0.24666575977812133
AMAT,0.08441078481100885,0.0030907183072306057,defensive,1.158587606564593
LRCX,0.12889330039502214,0.021664149216325944,balanced,0.7398272807771893
KLAC,0.03420475155061219,0.0042157685824461815,defensive,0.21877377491477715
MRVL,0.19504906553997087,0.028646087491234373,growth,1.0342538344913053
ADI,0.11779719162450872,0.0201529650186641,balanced,0.6889011474167145
JPM,0.3021245223924641,0.03212773247032371,growth,1.5739857620327178
BAC,0.04870763790579742,0.021254929444694214,balanced,0.19690993368998733
WFC,0.31519946943548244,0.13757156513341529,volatile,0.795886674673284
GS,0.2484577872140205,0.039282452709794115,growth,1.1526744528390722
MS,0.29243120238536935,0.02073484334812579,growth,1.8919361166319046
C,0.03260869635375883,0.0062936962343779,defensive,0.15893417691056147
AXP,0.08356046082643276,0.010363196967105838,balanced,0.62436731623615
BLK,0.07723028313850415,0.009111109211604906,defensive,0.5995705161909821
SCHW,0.0035217796924069678,0.005937683675169834,defensive,-0.21384631766302337
USB,0.21194596932151366,0.04505751881473258,growth,0.9042642479920521
JNJ,0.3297711624184251,0.06996634959208796,growth,1.1711064626221734
UNH,0.34630550932415943,0.055366165798884745,volatile,1.386762796261322
PFE,-0.012262545440222011,0.02187398023640685,balanced,-0.21813970502933758
ABBV,0.060288239757932065,0.017092499178742202,balanced,0.3081594633234742
MRK,0.07133467605171055,0.019014463795085302,balanced,0.37227921056681385
LLY,0.09230930807756753,0.010628194269781378,defensive,0.7013979040090867
TMO,0.04944778070364591,0.005857384988696754,defensive,0.3847695410851673
ABT,0.012892438041260362,0.016595844636486685,balanced,-0.055172285388708366
DHR,0.05311761072135878,0.01707171965431953,defensive,0.25346637971173763
BMY,0.19911921650310202,0.046792874132276695,growth,0.8280419132960611
WMT,0.07753874208034664,0.011705393635080828,balanced,0.5318232890403681
COST,0.12244182664373396,0.026297287225570964,growth,0.631715944838352
TGT,0.33899288127046157,0.02514335984930737,growth,2.0117283483339325
HD,0.15111690620549897,0.013679509753390814,balanced,1.1210459821570895
LOW,0.2552101109011971,0.039619411593270364,growth,1.1816856891319776
MCD,0.17903534716393368,0.034510849686374793,growth,0.8560829255405077
SBUX,0.06898667675138352,0.023122505410374566,balanced,0.3221517783679033
NKE,0.039075578188072696,0.005097576944931007,defensive,0.26717499842258347
PG,0.10054436979762664,0.03707105501266544,growth,0.41832875193924773
KO,0.11026819397436523,0.010639966454293753,defensive,0.8751139847087288
XOM,0.05084765858615411,0.011143304558410172,defensive,0.29222354530588235
CVX,0.10071006095973888,0.010877530005455426,defensive,0.7738602340120221
COP,0.1612350938416384,0.04827546452071867,growth,0.6428052159789274
EOG,0.22001295069231294,0.05342907190395191,growth,0.8653051762753483
SLB,0.20282641060553344,0.020306371619354002,growth,1.2829885130582093
PSX,0.09422885605280344,0.054811135186774995,growth,0.3170577470315632
VLO,0.19980161464308133,0.018743365507021797,balanced,1.3133177086921302
MPC,0.08392469733752067,0.030230110045695417,balanced,0.36766206015911185
OXY,0.016253401128477916,0.006421091924176695,defensive,-0.04675550523746357
HAL,0.07751643781411656,0.008421579508561643,defensive,0.6267512435068708
CAT,0.18964146932959502,0.03303868521770585,growth,0.9332986708337366
DE,0.12356660018394135,0.02985237302919602,balanced,0.5994187032713049
MMM,0.109982169879596,0.024507571552938007,balanced,0.5747861860831062
HON,0.046487952927828424,0.03441537917683859,growth,0.14278155799003356
GE,0.05862233513389208,0.011468308577034604,balanced,0.36065241363033973
RTX,0.056701619818918705,0.017661135915094314,balanced,0.27616962854359656
LMT,0.15537463982958072,0.010715250975823052,balanced,1.307784363242759
NOC,0.10668473209269295,0.01661081396666495,balanced,0.6725849638678778
BA,0.04353144169733137,0.014011031301218417,defensive,0.19879867440988042
UPS,0.13459634903521592,0.029361786752099207,balanced,0.6687742475996858
NEE,0.04959230122625348,0.007216229553317188,defensive,0.3483562197833492
DUK,0.09268776507157252,0.02169747753889855,balanced,0.49346538314994187
SO,0.20236013509175976,0.021987343133199604,growth,1.2298255976630437
AMT,0.0581671423569756,0.01091291332055562,defensive,0.36535856421089896
PLD,0.14311159131368723,0.017507378445126683,defensive,0.9304400267241726
SPG,0.025136482730441296,0.008850466553803296,defensive,0.054598756253244556
O,0.0037795299357048853,0.007637171944146055,defensive,-0.18560819679786955
VTR,0.21209235025132384,0.049470243450658806,growth,0.8636505349710965
EXC,0.06490038892410152,0.015420974919525425,balanced,0.36157149707974484
SRE,0.03968976791829415,0.03304800895346111,growth,0.10830984825085618
